x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,1.230094714250572902e-05,-1.791417984228098061e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.398097675324120566e-05,-1.069281936158784570e-06
5.000000000020689284e-03,2.000000000000000042e-02,1.575164180695788279e-05,-1.873410494755474704e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.747355507583482430e-05,-1.074796820433570511e-06
4.999504327919811197e-03,1.133971356405899175e-02,1.573529052517044354e-05,-2.541192674460913208e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.314803607680209716e-05,2.247766009896685375e-07
0.000000000000000000e+00,0.000000000000000000e+00,1.230047504343132824e-05,1.785989403927811222e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.388090793598228467e-05,1.052272832086114228e-06
1.000000000001968065e-02,2.000000000000000042e-02,1.917486542516049606e-05,-1.897072662549586900e-06
1.250786195096474304e-02,1.571248485290116861e-02,2.089241186553949923e-05,-1.078926510416252934e-06
1.001089137621805070e-02,1.160955174932709610e-02,1.917118439505173823e-05,-3.108052063108753214e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.738685484475680575e-05,5.185313113979142305e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.574453122497689026e-05,1.863843480482645954e-06
1.500000000004035952e-02,2.000000000000000042e-02,2.260447778631345539e-05,-1.875102454417494979e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.745264956598595874e-05,1.289411507031519384e-06
1.750371351107557830e-02,1.568022994631965150e-02,2.432260638715077721e-05,-1.032329145004702729e-06
1.501191742996678055e-02,1.156918622891871251e-02,2.259475135611915827e-05,-2.987339571375420401e-07
1.250010988546225096e-02,8.340378350422721077e-03,2.087904978566784480e-05,3.005537823223239712e-07
1.250230821631783187e-02,4.265319425319667561e-03,2.088764846398481542e-05,1.062016902003613299e-06
9.999999999982380622e-03,0.000000000000000000e+00,1.916852794841634178e-05,1.877986326542777876e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.607409548428398058e-05,-1.807720956314620506e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.760336025398206142e-05,-9.584187487186594262e-07
2.000000000005418624e-02,1.139459418740238622e-02,2.596930647785718316e-05,-2.439318829741931718e-07
1.756628616187659239e-02,7.083180156676254988e-03,2.434317901469190186e-05,5.033997859126910061e-07
1.499999999996644642e-02,0.000000000000000000e+00,2.259741624353188121e-05,1.858994771218251056e-06
2.500000000006815173e-02,2.000000000000000042e-02,2.967446476728159357e-05,-1.725504537621402937e-06
1.736733342155067847e-02,3.000099772614507956e-03,2.423785165010548462e-05,1.263084504128704047e-06
2.737020972161973223e-02,1.536258464470066816e-02,3.109162052650921577e-05,-8.013850731272306212e-07
2.407292757175145612e-02,1.212333826448509094e-02,2.864827926072301668e-05,-3.166800993552716537e-07
2.403424346654977825e-02,8.013607373164404607e-03,2.864465326332955503e-05,2.685609469568941871e-07
2.176807272964541642e-02,3.651999281076618101e-03,2.728145261315956954e-05,1.052063264390178945e-06
1.999999999994713298e-02,0.000000000000000000e+00,2.606140327947660234e-05,1.792540516409512056e-06
3.000000000007796777e-02,2.000000000000000042e-02,3.352617232025477617e-05,-1.808519450559796201e-06
3.223980835074959084e-02,1.637614860173535261e-02,3.480320457643857208e-05,-1.158489353489752149e-06
2.764584684622986219e-02,1.069619382382120017e-02,3.079255126608790571e-05,-1.143103749640233671e-07
2.678338009723399069e-02,3.694726752866445141e-03,3.076504806290605956e-05,9.083530436695525240e-07
2.499999999992509950e-02,0.000000000000000000e+00,2.964644734956464926e-05,1.668560180812990453e-06
3.500000000009727275e-02,2.000000000000000042e-02,3.779011384099967199e-05,-2.674097373996353470e-06
3.034893987109881994e-02,1.312535325138144450e-02,3.273857051345054563e-05,-4.416634438798941145e-07
2.940025161316464283e-02,6.798949907153682345e-03,3.214374064273544236e-05,3.689705749935492312e-07
3.659154054795421551e-02,1.654894436243325995e-02,3.856694909457742109e-05,-2.257230139201590795e-06
3.427330785288551507e-02,1.320679813145571833e-02,3.526749302449605890e-05,-5.442126019931221881e-07
3.189043796489815508e-02,1.002599308788085057e-02,3.298008602780080846e-05,-1.814547932903415558e-08
2.999999999992067692e-02,0.000000000000000000e+00,3.353402029896227350e-05,1.723857959332448137e-06
3.185718389473046752e-02,3.428475384262190048e-03,3.452827602916848799e-05,1.102359673778322651e-06
4.000000000010710266e-02,2.000000000000000042e-02,4.163043291144325831e-05,-3.791528025322364593e-06
3.395947164385887396e-02,6.579724727082873412e-03,3.512043875937199034e-05,5.188757736493510389e-07
4.008256148114600070e-02,1.602455628455249498e-02,4.172527736358949116e-05,-3.008093079472837545e-06
3.799999999647134252e-02,1.346410161310048967e-02,3.834122333022329686e-05,-1.977582318533309250e-06
3.599999999999999034e-02,1.000000000000000021e-02,3.419061848748749193e-05,-2.538241671625062891e-08
3.499999999990406618e-02,0.000000000000000000e+00,3.778715066158988236e-05,2.630771722803282416e-06
3.645568234666063390e-02,3.419923700755157954e-03,3.844147000691800853e-05,2.186268772970383332e-06
4.354431765621695483e-02,1.658007629704226146e-02,4.481708895894525983e-05,-2.210027688828938287e-06
3.800000001440158315e-02,6.535898376547476414e-03,3.830784094581334221e-05,1.928091538050131032e-06
4.500000000009930778e-02,2.000000000000000042e-02,4.547134826356681472e-05,-2.654496668937641693e-06
4.199999999341337553e-02,1.346410161894055421e-02,4.495074177054930286e-05,-1.951875945616458919e-06
3.999999999988339272e-02,0.000000000000000000e+00,4.162807323026975723e-05,3.767720755009790381e-06
3.991743852718539209e-02,3.975443716638409584e-03,4.153328449864555894e-05,2.984288119093319475e-06
4.200000001271150807e-02,6.535898392201238555e-03,4.491736330796479128e-05,1.953753542193322637e-06
