x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,1.087923265301484312e-05,-1.253105741290047042e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.235501860634807995e-05,-7.494316820654955734e-07
5.000000000020689284e-03,2.000000000000000042e-02,1.391064071165204028e-05,-1.326244164861760534e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.542214866371310363e-05,-7.616263151075891700e-07
4.999504327919811197e-03,1.133971356405899175e-02,1.389645082636316621e-05,-1.788488378813916806e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.162496187281870165e-05,1.568433618595690973e-07
0.000000000000000000e+00,0.000000000000000000e+00,1.087986307688830220e-05,1.250320459279883309e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.226795245228364931e-05,7.387157401104863873e-07
1.000000000001968065e-02,2.000000000000000042e-02,1.691550452387350153e-05,-1.347849065312658534e-06
1.250786195096474304e-02,1.571248485290116861e-02,1.842388278518924117e-05,-7.650143992165897279e-07
1.001089137621805070e-02,1.160955174932709610e-02,1.691343146314533140e-05,-2.201171016288968244e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.534648302553668779e-05,3.674667262932037663e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.390590093810696834e-05,1.320581702949604419e-06
1.500000000004035952e-02,2.000000000000000042e-02,1.992527515764246944e-05,-1.328864331785396467e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.540445087404522897e-05,9.149085649577995089e-07
1.750371351107557830e-02,1.568022994631965150e-02,2.143621062074790282e-05,-7.260924855144359051e-07
1.501191742996678055e-02,1.156918622891871251e-02,1.992036582121890073e-05,-2.106854864160881797e-07
1.250010988546225096e-02,8.340378350422721077e-03,1.841323688653393603e-05,2.135015103870746257e-07
1.250230821631783187e-02,4.265319425319667561e-03,1.842023269395767594e-05,7.537184843320216772e-07
9.999999999982380622e-03,0.000000000000000000e+00,1.691115398576390283e-05,1.335120112229996593e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.297007914675633695e-05,-1.270061342520438936e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.431872630298107898e-05,-6.627041837524799877e-07
2.000000000005418624e-02,1.139459418740238622e-02,2.288620926367635134e-05,-1.688299751529912488e-07
