x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,1.210535057332657390e-05,-1.416988791823827467e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.374808332289856134e-05,-8.473137089568228027e-07
5.000000000020689284e-03,2.000000000000000042e-02,1.547968935690447801e-05,-1.498328650869713178e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.716227136828947890e-05,-8.603851606270785113e-07
4.999504327919811197e-03,1.133971356405899175e-02,1.546387688331578021e-05,-2.021409060795647824e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.293531910025082667e-05,1.773912833685488240e-07
0.000000000000000000e+00,0.000000000000000000e+00,1.210598081998403861e-05,1.413758491627179412e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.365110967379239539e-05,8.351004682226815311e-07
1.000000000001968065e-02,2.000000000000000042e-02,1.882465288098975431e-05,-1.522318853484025871e-06
1.250786195096474304e-02,1.571248485290116861e-02,2.050370973618605464e-05,-8.641714125903547287e-07
1.001089137621805070e-02,1.160955174932709610e-02,1.882226998249857369e-05,-2.486673767176143332e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.707801028899736759e-05,4.151204075059298891e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.547431127633199546e-05,1.491843783687867577e-06
1.500000000004035952e-02,2.000000000000000042e-02,2.217513048967215160e-05,-1.501161522054460717e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.714252591170186533e-05,1.033450082151888584e-06
1.750371351107557830e-02,1.568022994631965150e-02,2.385689793554877491e-05,-8.207041851037119557e-07
1.501191742996678055e-02,1.156918622891871251e-02,2.216942564729962377e-05,-2.380862253884989678e-07
1.250010988546225096e-02,8.340378350422721077e-03,2.049178629266254904e-05,2.411464289161948004e-07
1.250230821631783187e-02,4.265319425319667561e-03,2.049961040329475131e-05,8.513616089094443246e-07
9.999999999982380622e-03,0.000000000000000000e+00,1.881972645708212592e-05,1.507880951040251041e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.556461759177650132e-05,-1.435679216664822466e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.706548789341180065e-05,-7.500397926319691095e-07
2.000000000005418624e-02,1.139459418740238622e-02,2.547070403093721860e-05,-1.910597113943793099e-07
1.756628616187659239e-02,7.083180156676254988e-03,2.387896309114609332e-05,3.994928939888477543e-07
1.499999999996644642e-02,0.000000000000000000e+00,2.216931583658722754e-05,1.489429967338977771e-06
2.500000000006815173e-02,2.000000000000000042e-02,2.908134598768821150e-05,-1.354188815047206914e-06
1.736733342155067847e-02,3.000099772614507956e-03,2.377315676083621585e-05,1.006591690272573461e-06
2.737020972161973223e-02,1.536258464470066816e-02,3.047524540140030680e-05,-6.139241380105267764e-07
2.407292757175145612e-02,1.212333826448509094e-02,2.809638999358905854e-05,-2.427079092924093980e-07
2.403424346654977825e-02,8.013607373164404607e-03,2.809019339451883433e-05,2.046032822939177457e-07
2.176807272964541642e-02,3.651999281076618101e-03,2.674769229547831553e-05,8.256631306519874859e-07
1.999999999994713298e-02,0.000000000000000000e+00,2.555303183330401594e-05,1.424503371002333711e-06
3.000000000007796777e-02,2.000000000000000042e-02,3.284518950627533150e-05,-1.433687715637697587e-06
3.223980835074959084e-02,1.637614860173535261e-02,3.409472333127271570e-05,-9.363874978536504009e-07
2.764584684622986219e-02,1.069619382382120017e-02,3.020592633441529512e-05,-8.720315386488138981e-08
2.678338009723399069e-02,3.694726752866445141e-03,3.015435261739770657e-05,6.963873423747213910e-07
2.499999999992509950e-02,0.000000000000000000e+00,2.905575246871542824e-05,1.307291761215252708e-06
3.500000000009727275e-02,2.000000000000000042e-02,3.699825178285633771e-05,-2.259492716287170821e-06
