x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,9.992260803489197351e-06,-1.540049975840274675e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.135989086473703743e-05,-9.188835667596133222e-07
5.000000000020689284e-03,2.000000000000000042e-02,1.280113921030388309e-05,-1.606490967953919342e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.420307420416597741e-05,-9.214760598062718833e-07
4.999504327919811197e-03,1.133971356405899175e-02,1.278781204632815460e-05,-2.182025452382280452e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.068146427773656973e-05,1.933234159642517060e-07
0.000000000000000000e+00,0.000000000000000000e+00,9.991605414241299914e-06,1.535087486628906772e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.127821774639043186e-05,9.039238758106016745e-07
1.000000000001968065e-02,2.000000000000000042e-02,1.558824462322009461e-05,-1.625555804569392625e-06
1.250786195096474304e-02,1.571248485290116861e-02,1.698640673876782541e-05,-9.249081528582625476e-07
1.001089137621805070e-02,1.160955174932709610e-02,1.558492662015223306e-05,-2.665163723698647204e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.413237831385901253e-05,4.445187305201766557e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.279495555853728172e-05,1.597963569188674974e-06
1.500000000004035952e-02,2.000000000000000042e-02,1.838071299293604399e-05,-1.607607523428498663e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.418588362899622033e-05,1.105117058615184631e-06
1.750371351107557830e-02,1.568022994631965150e-02,1.977880004124614512e-05,-8.864814875385203357e-07
1.501191742996678055e-02,1.156918622891871251e-02,1.837181141458112232e-05,-2.563997944319567204e-07
1.250010988546225096e-02,8.340378350422721077e-03,1.697523927354193440e-05,2.575177012018595095e-07
1.250230821631783187e-02,4.265319425319667561e-03,1.698238924301345286e-05,9.101828216220808264e-07
9.999999999982380622e-03,0.000000000000000000e+00,1.558277327643822367e-05,1.608935819203950903e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.120574513295683629e-05,-1.552657058832711159e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.244917019929926620e-05,-8.259176249566163363e-07
