x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,1.117559587149948532e-05,-1.327838996147824847e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.269270584258443183e-05,-7.938944163013071972e-07
5.000000000020689284e-03,2.000000000000000042e-02,1.429189549373329164e-05,-1.402895349761968087e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.584588089234446195e-05,-8.055293026035937161e-07
4.999504327919811197e-03,1.133971356405899175e-02,1.427727773844469061e-05,-1.893397821536804468e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.194199147536552930e-05,1.662610488441752411e-07
0.000000000000000000e+00,0.000000000000000000e+00,1.117611579968241702e-05,1.324742175293316913e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.260309745566603753e-05,7.823669565767257876e-07
1.000000000001968065e-02,2.000000000000000042e-02,1.738121477907633128e-05,-1.425000220018652161e-06
1.250786195096474304e-02,1.571248485290116861e-02,1.893190783379987004e-05,-8.090391118687055573e-07
1.001089137621805070e-02,1.160955174932709610e-02,1.737894820015032643e-05,-2.328201851270826285e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.576803248732951642e-05,3.886568900276924009e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.428683984156056572e-05,1.396747739333274603e-06
1.500000000004035952e-02,2.000000000000000042e-02,2.047567139196462694e-05,-1.405439507527009264e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.582760576823325640e-05,9.674793398776067763e-07
1.750371351107557830e-02,1.568022994631965150e-02,2.202874918765966366e-05,-7.687727274774089584e-07
1.501191742996678055e-02,1.156918622891871251e-02,2.047019316619623646e-05,-2.229766662285870657e-07
1.250010988546225096e-02,8.340378350422721077e-03,1.892083239165897940e-05,2.257372679182723298e-07
1.250230821631783187e-02,4.265319425319667561e-03,1.892809039642239879e-05,7.970029690989350628e-07
9.999999999982380622e-03,0.000000000000000000e+00,1.737659237776701499e-05,1.411431860912917609e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.360616509737577701e-05,-1.344941168998319887e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.499196215883390385e-05,-7.034206440356389527e-07
2.000000000005418624e-02,1.139459418740238622e-02,2.351894962955711958e-05,-1.791679435035730102e-07
1.756628616187659239e-02,7.083180156676254988e-03,2.204901710554910249e-05,3.742699039873573432e-07
1.499999999996644642e-02,0.000000000000000000e+00,2.047023786019834697e-05,1.394378903008374787e-06
2.500000000006815173e-02,2.000000000000000042e-02,2.685421200276998135e-05,-1.269732297739842036e-06
1.736733342155067847e-02,3.000099772614507956e-03,2.195145668402250801e-05,9.427310286465699959e-07
2.737020972161973223e-02,1.536258464470066816e-02,2.814104662596384265e-05,-5.766969201668323174e-07
2.407292757175145612e-02,1.212333826448509094e-02,2.594351700759791574e-05,-2.279922163046374744e-07
2.403424346654977825e-02,8.013607373164404607e-03,2.593793485736522198e-05,1.922911568406556043e-07
2.176807272964541642e-02,3.651999281076618101e-03,2.469863206683093530e-05,7.741783029363168863e-07
1.999999999994713298e-02,0.000000000000000000e+00,2.359541467274357140e-05,1.334409142881545735e-06
3.000000000007796777e-02,2.000000000000000042e-02,3.033043458091277608e-05,-1.343250439026013671e-06
3.223980835074959084e-02,1.637614860173535261e-02,3.148433709876644109e-05,-8.760632811187185113e-07
2.764584684622986219e-02,1.069619382382120017e-02,2.789101224157969930e-05,-8.193554983579706029e-08
2.678338009723399069e-02,3.694726752866445141e-03,2.784478750433072420e-05,6.541472499002933113e-07
2.499999999992509950e-02,0.000000000000000000e+00,2.683047228887925522e-05,1.225936042253494588e-06
3.500000000009727275e-02,2.000000000000000042e-02,3.416690037765976982e-05,-2.107134575157126592e-06
3.034893987109881994e-02,1.312535325138144450e-02,2.963803725779211025e-05,-3.186727810258677614e-07
2.940025161316464283e-02,6.798949907153682345e-03,2.910059280275114420e-05,2.588432622715387861e-07
3.659154054795421551e-02,1.654894436243325995e-02,3.486825879651943066e-05,-1.840842279437506249e-06
3.427330785288551507e-02,1.320679813145571833e-02,3.191467934818196346e-05,-4.191024380887158920e-07
3.189043796489815508e-02,1.002599308788085057e-02,2.988142437791051946e-05,-1.320411069463587190e-08
2.999999999992067692e-02,0.000000000000000000e+00,3.033722814411482746e-05,1.276770309953453928e-06
3.185718389473046752e-02,3.428475384262190048e-03,3.123756444077952220e-05,8.273306120610483981e-07
4.000000000010710266e-02,2.000000000000000042e-02,3.764128367053248575e-05,-3.078186391518226928e-06
