x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,1.094237043152160250e-05,-1.649452533852966539e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.243875008961068357e-05,-9.843066601682379602e-07
5.000000000020689284e-03,2.000000000000000042e-02,1.401575598172614188e-05,-1.722282198043949807e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.554958253460462622e-05,-9.879700273848743183e-07
4.999504327919811197e-03,1.133971356405899175e-02,1.400117968779180512e-05,-2.338089581771318005e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.169661463901472420e-05,2.070217491880888824e-07
0.000000000000000000e+00,0.000000000000000000e+00,1.094177165532037347e-05,1.644261630461841768e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.234948042431018370e-05,9.684254358968162045e-07
1.000000000001968065e-02,2.000000000000000042e-02,1.706506349665366467e-05,-1.743227022755028305e-06
1.250786195096474304e-02,1.571248485290116861e-02,1.859485911224123197e-05,-9.916940392046607842e-07
1.001089137621805070e-02,1.160955174932709610e-02,1.706157457143781653e-05,-2.857275495455861052e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.547228192498685876e-05,4.766156663655048187e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.400916296618353105e-05,1.713276274024737686e-06
1.500000000004035952e-02,2.000000000000000042e-02,2.012016925477284952e-05,-1.723615697349067763e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.553084885256746908e-05,1.185014049693400141e-06
1.750371351107557830e-02,1.568022994631965150e-02,2.165012324023018295e-05,-9.498637640764277354e-07
1.501191742996678055e-02,1.156918622891871251e-02,2.011086122833074220e-05,-2.747842601596612877e-07
1.250010988546225096e-02,8.340378350422721077e-03,1.858276728760223514e-05,2.761688875234621824e-07
1.250230821631783187e-02,4.265319425319667561e-03,1.859052452411054347e-05,9.760035539244650222e-07
9.999999999982380622e-03,0.000000000000000000e+00,1.705921317173348701e-05,1.725516942263199481e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.321090736324299566e-05,-1.663535174054571946e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.457203819185815164e-05,-8.837715600547217955e-07
2.000000000005418624e-02,1.139459418740238622e-02,2.311617213765371028e-05,-2.249247296542178681e-07
1.756628616187659239e-02,7.083180156676254988e-03,2.166812562754594663e-05,4.632805798523376888e-07
1.499999999996644642e-02,0.000000000000000000e+00,2.011370759007648963e-05,1.708604736969039217e-06
2.500000000006815173e-02,2.000000000000000042e-02,2.641817666695112527e-05,-1.590532670432093939e-06
1.736733342155067847e-02,3.000099772614507956e-03,2.157479118388485337e-05,1.161773504180018918e-06
2.737020972161973223e-02,1.536258464470066816e-02,2.767909956013522534e-05,-7.411629294265779531e-07
2.407292757175145612e-02,1.212333826448509094e-02,2.550120233964038572e-05,-2.928298302092175890e-07
2.403424346654977825e-02,8.013607373164404607e-03,2.549844316135556566e-05,2.485183115428320414e-07
2.176807272964541642e-02,3.651999281076618101e-03,2.428584825690701239e-05,9.697365266801458022e-07
1.999999999994713298e-02,0.000000000000000000e+00,2.319948250762334313e-05,1.649424760497709430e-06
3.000000000007796777e-02,2.000000000000000042e-02,2.984896112879201861e-05,-1.664734095277907100e-06
3.223980835074959084e-02,1.637614860173535261e-02,3.098636363447428204e-05,-1.063427483280479624e-06
2.764584684622986219e-02,1.069619382382120017e-02,2.740894382976463435e-05,-1.058050957058349776e-07
2.678338009723399069e-02,3.694726752866445141e-03,2.738846201073640330e-05,8.399120809863420039e-07
2.499999999992509950e-02,0.000000000000000000e+00,2.639293136381705700e-05,1.538328377662237331e-06
3.500000000009727275e-02,2.000000000000000042e-02,3.364917396490778941e-05,-2.438823646948556901e-06
3.034893987109881994e-02,1.312535325138144450e-02,2.914420201244836893e-05,-4.083035914908461431e-07
2.940025161316464283e-02,6.798949907153682345e-03,2.861446011604973011e-05,3.424045304442737210e-07
3.659154054795421551e-02,1.654894436243325995e-02,3.434124083935914575e-05,-2.047034737296137712e-06
3.427330785288551507e-02,1.320679813145571833e-02,3.139798144861451516e-05,-4.981952134381483858e-07
3.189043796489815508e-02,1.002599308788085057e-02,2.935458751472396112e-05,-1.676601348098014852e-08
2.999999999992067692e-02,0.000000000000000000e+00,2.985601347793138702e-05,1.587391333661369513e-06
3.185718389473046752e-02,3.428475384262190048e-03,3.074120681318493414e-05,1.013022664121671972e-06
4.000000000010710266e-02,2.000000000000000042e-02,3.706847782605830033e-05,-3.441166061678387206e-06
3.395947164385887396e-02,6.579724727082873412e-03,3.126655032669890658e-05,4.756930393804539067e-07
4.008256148114600070e-02,1.602455628455249498e-02,3.715294700062065481e-05,-2.718045711103875431e-06
3.799999999647134252e-02,1.346410161310048967e-02,3.413883453398068184e-05,-1.775571928759998210e-06
3.599999999999999034e-02,1.000000000000000021e-02,3.043505827458111313e-05,-2.336932410280069601e-08
3.499999999990406618e-02,0.000000000000000000e+00,3.364637567121356136e-05,2.398970905353785804e-06
3.645568234666063390e-02,3.419923700755157954e-03,3.422920354103904488e-05,1.982739331712148602e-06
4.354431765621695483e-02,1.658007629704226146e-02,3.990560026595512452e-05,-2.004797832828217410e-06
3.800000001440158315e-02,6.535898376547476414e-03,3.410877229106777940e-05,1.730527641310573092e-06
4.500000000009930778e-02,2.000000000000000042e-02,4.048837572808540653e-05,-2.420999622754001934e-06
4.199999999341337553e-02,1.346410161894055421e-02,4.002605207916707541e-05,-1.752608490258005439e-06
3.999999999988339272e-02,0.000000000000000000e+00,3.706627989783428738e-05,3.419065216724879825e-06
3.991743852718539209e-02,3.975443716638409584e-03,3.698185931459002234e-05,2.695946928880356359e-06
4.200000001271150807e-02,6.535898392201238555e-03,3.999599339842132900e-05,1.753452298367416627e-06
4.814281610488382879e-02,1.657152461245835207e-02,4.339360721536334782e-05,-1.034974512472112360e-06
4.604052835765218288e-02,1.342027526630216669e-02,4.286826161269900303e-05,-4.977362209672233308e-07
4.340845946045715498e-02,3.451055641520449357e-03,3.979355998471622750e-05,2.024894425076200652e-06
4.399999999999999745e-02,1.000000000000000021e-02,4.369976755526534129e-05,1.269129854899462830e-09
4.572669215125049758e-02,6.793201870641595724e-03,4.273684163910764904e-05,4.760476588219249905e-07
5.000000000008202050e-02,2.000000000000000042e-02,4.427875708642139198e-05,-1.609246750814419376e-06
4.810956202934860149e-02,9.974006907113978221e-03,4.478020433235377975e-05,-5.328303201874824381e-09
5.321661989747887567e-02,1.630527324474354348e-02,4.674640600962708505e-05,-8.615793621605233627e-07
5.059974838083944326e-02,1.320105008530058667e-02,4.552029124964825053e-05,-3.643243736002917768e-07
4.499999999990338118e-02,0.000000000000000000e+00,4.048558014426990696e-05,2.416649259073557972e-06
4.776019165317300919e-02,3.623851400206113023e-03,4.314843308930174041e-05,1.041193100804272226e-06
4.965106012815805048e-02,6.874646747767843187e-03,4.499058901173171710e-05,3.860697843552465439e-07
5.500000000006743939e-02,2.000000000000000042e-02,4.774204663438356787e-05,-1.559784699183138007e-06
5.235415314576657986e-02,9.303806171408923048e-03,4.672569496998232993e-05,8.367359146851696244e-08
5.823192726590074864e-02,1.634800071899824431e-02,4.984907382472069298e-05,-9.908873078126213067e-07
5.596575651317720057e-02,1.198639263129407627e-02,4.863595771811637811e-05,-2.702945495726677569e-07
4.999999999992336963e-02,0.000000000000000000e+00,4.428583248043320788e-05,1.642383186916366971e-06
5.262979027678832411e-02,4.637415354062316558e-03,4.645567507338118967e-05,7.187006049724494802e-07
6.000000000004473977e-02,2.000000000000000042e-02,5.093642644816753139e-05,-1.670462457774732554e-06
5.592707242380802468e-02,7.876661736037765538e-03,4.863314715414413539e-05,2.704174961054444099e-07
6.263683207866777014e-02,1.699377244503963783e-02,5.256340006943160129e-05,-1.181618920974186637e-06
6.245223312732538223e-02,1.295098852510483123e-02,5.247600014797875351e-05,-4.903144789042305337e-07
5.499999999992169486e-02,0.000000000000000000e+00,4.771684866927003378e-05,1.567810132378712835e-06
5.999999999994173883e-02,8.605405812100062543e-03,5.101744072501838642e-05,2.024829163343697371e-07
5.770942209033401438e-02,4.260359157688499432e-03,4.956272340947843590e-05,8.608408319663649287e-07
6.500000000003829104e-02,2.000000000000000042e-02,5.402533334046084385e-05,-1.730308590690099561e-06
6.750000000002970291e-02,1.566987298109512317e-02,5.554562888714582099e-05,-9.873158967538287419e-07
6.498808256992391619e-02,8.430813770925497594e-03,5.402104992460136229e-05,2.521157573292948292e-07
5.999999999994169719e-02,0.000000000000000000e+00,5.092508551003349323e-05,1.640261584649913108e-06
6.249628648888765070e-02,4.319770053590230030e-03,5.248437356535065796e-05,9.264381280972178508e-07
7.000000000002101763e-02,2.000000000000000042e-02,5.708521947263047174e-05,-1.753478328498244869e-06
6.740051133418925589e-02,1.150685152570313230e-02,5.548699596258027471e-05,-2.720356531771105660e-07
7.279327590094296363e-02,1.613787677442774654e-02,5.878518541408287102e-05,-1.085315423644339816e-06
7.178864413358494734e-02,1.200345815424263413e-02,5.816645298308827328e-05,-3.622449399757965824e-07
6.749385792404123674e-02,4.274392442031135775e-03,5.554011243175958809e-05,9.723230359618758038e-07
7.002157552234662685e-02,8.066666492799884347e-03,5.708777440576412812e-05,3.211843150497798654e-07
6.499999999996169953e-02,0.000000000000000000e+00,5.401869909629273387e-05,1.700807704654025774e-06
7.499999999999830413e-02,2.000000000000000042e-02,6.014100678715971398e-05,-1.764306564019536263e-06
7.633974596214868069e-02,1.633974596214564021e-02,6.095497295928131812e-05,-1.124735668967192837e-06
7.604655695369906543e-02,1.281628742749237222e-02,6.077176961824513505e-05,-5.074232718544694008e-07
7.552570150084221556e-02,7.859064009264705997e-03,6.045212586511235578e-05,3.602800461966362127e-07
6.999999999998168798e-02,0.000000000000000000e+00,5.708002229558520058e-05,1.727164107173787958e-06
7.247855853674463333e-02,4.234115622562914516e-03,5.858975453068229625e-05,9.917444239913540892e-07
8.000000000000000167e-02,2.000000000000000042e-02,6.319839037897179753e-05,-1.769580160390764243e-06
8.000000000000000167e-02,1.499999999998711912e-02,6.319231354585688146e-05,-8.930775053357423694e-07
8.000000000000000167e-02,9.999999999974581305e-03,6.318909594615802229e-05,-1.522238925953669904e-08
7.633974596214371244e-02,3.660254037848154236e-03,6.095222304848230772e-05,1.095496089959538652e-06
7.499999999998001321e-02,0.000000000000000000e+00,6.013652440215202073e-05,1.735384014841693643e-06
8.000000000000000167e-02,4.999999999989158082e-03,6.319023035739098205e-05,8.621672995756004382e-07
