x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,1.227304566174736215e-05,-1.652611683927198888e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.394490025303957598e-05,-9.870121569488889579e-07
5.000000000020689284e-03,2.000000000000000042e-02,1.570712325607196181e-05,-1.734675025104230394e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.742027373811158401e-05,-9.955018300602288152e-07
4.999504327919811197e-03,1.133971356405899175e-02,1.569090003445549694e-05,-2.348574075605262670e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.311663644113342661e-05,2.072109533340358105e-07
0.000000000000000000e+00,0.000000000000000000e+00,1.227300313799418026e-05,1.648043460276595257e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.384565664362215905e-05,9.718282914510206745e-07
1.000000000001968065e-02,2.000000000000000042e-02,1.911290488244181336e-05,-1.758545630524362850e-06
1.250786195096474304e-02,1.571248485290116861e-02,2.082202631570874183e-05,-9.995072305840684901e-07
1.001089137621805070e-02,1.160955174932709610e-02,1.910973255158492982e-05,-2.878117700872721830e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.733418912780871067e-05,4.803139807485520023e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.570066679307595642e-05,1.726298122803336274e-06
1.500000000004035952e-02,2.000000000000000042e-02,2.252477203099279151e-05,-1.736796727193278228e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.739974207284476605e-05,1.194810641984583831e-06
1.750371351107557830e-02,1.568022994631965150e-02,2.423532473143797861e-05,-9.539380693885676965e-07
1.501191742996678055e-02,1.156918622891871251e-02,2.251661240995738369e-05,-2.762680171969694963e-07
1.250010988546225096e-02,8.340378350422721077e-03,2.080918125406166626e-05,2.786136403315625772e-07
1.250230821631783187e-02,4.265319425319667561e-03,2.081750543614490698e-05,9.841641298280939677e-07
9.999999999982380622e-03,0.000000000000000000e+00,1.910709327032046468e-05,1.741231274620721094e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.597642897818902715e-05,-1.669898768441186291e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.750050106355959539e-05,-8.810144489978452717e-07
2.000000000005418624e-02,1.139459418740238622e-02,2.587550487808509120e-05,-2.242731592301301766e-07
1.756628616187659239e-02,7.083180156676254988e-03,2.425656430376902606e-05,4.649222369923260653e-07
1.499999999996644642e-02,0.000000000000000000e+00,2.251816431339806934e-05,1.722350487365808841e-06
2.500000000006815173e-02,2.000000000000000042e-02,2.955799765816740117e-05,-1.587594077271763596e-06
1.736733342155067847e-02,3.000099772614507956e-03,2.415062236325602119e-05,1.168142065460885770e-06
2.737020972161973223e-02,1.536258464470066816e-02,3.097144616608043215e-05,-7.314434020140908129e-07
2.407292757175145612e-02,1.212333826448509094e-02,2.854397080511530710e-05,-2.891262113563006659e-07
2.403424346654977825e-02,8.013607373164404607e-03,2.853927834821424120e-05,2.447338726375214771e-07
2.176807272964541642e-02,3.651999281076618101e-03,2.717892994664261334e-05,9.680167987095188823e-07
1.999999999994713298e-02,0.000000000000000000e+00,2.596410373412768972e-05,1.656216683562194589e-06
3.000000000007796777e-02,2.000000000000000042e-02,3.339037116195189858e-05,-1.669565683443879990e-06
3.223980835074959084e-02,1.637614860173535261e-02,3.466139139501245487e-05,-1.076555788020883723e-06
2.764584684622986219e-02,1.069619382382120017e-02,3.068288901236951402e-05,-1.041597362690338333e-07
2.678338009723399069e-02,3.694726752866445141e-03,3.064587243840585003e-05,8.293949665952238217e-07
2.499999999992509950e-02,0.000000000000000000e+00,2.953081749232415332e-05,1.534427668422146895e-06
3.500000000009727275e-02,2.000000000000000042e-02,3.762755147820757973e-05,-2.523164699994621446e-06
3.034893987109881994e-02,1.312535325138144450e-02,3.261476115195589284e-05,-4.035114333203213395e-07
2.940025161316464283e-02,6.798949907153682345e-03,3.202268076095482946e-05,3.338649781423974667e-07
3.659154054795421551e-02,1.654894436243325995e-02,3.840039455688726885e-05,-2.157790841678466225e-06
3.427330785288551507e-02,1.320679813145571833e-02,3.512822389781870814e-05,-5.090689795221863297e-07
3.189043796489815508e-02,1.002599308788085057e-02,3.286648744909831767e-05,-1.661460623466203784e-08
2.999999999992067692e-02,0.000000000000000000e+00,3.339803987894002219e-05,1.589887895288858820e-06
3.185718389473046752e-02,3.428475384262190048e-03,3.438847610319730927e-05,1.021630970483538494e-06
4.000000000010710266e-02,2.000000000000000042e-02,4.145210789224486385e-05,-3.618102330962086611e-06
3.395947164385887396e-02,6.579724727082873412e-03,3.498293253778515620e-05,4.836572472299219554e-07
4.008256148114600070e-02,1.602455628455249498e-02,4.154649727631386816e-05,-2.899656442998182718e-06
3.799999999647134252e-02,1.346410161310048967e-02,3.817933168822007723e-05,-1.933487954291339021e-06
3.599999999999999034e-02,1.000000000000000021e-02,3.406618141606154412e-05,-2.344256235832690181e-08
3.499999999990406618e-02,0.000000000000000000e+00,3.762497414561566535e-05,2.483056401182726310e-06
3.645568234666063390e-02,3.419923700755157954e-03,3.827618176110405608e-05,2.089779068335300292e-06
4.354431765621695483e-02,1.658007629704226146e-02,4.462595114366478582e-05,-2.111284956465746223e-06
3.800000001440158315e-02,6.535898376547476414e-03,3.814689143742220099e-05,1.886542283341325082e-06
4.500000000009930778e-02,2.000000000000000042e-02,4.527709645855959169e-05,-2.504527321503604938e-06
4.199999999341337553e-02,1.346410161894055421e-02,4.475526651596911887e-05,-1.908074420865192015e-06
3.999999999988339272e-02,0.000000000000000000e+00,4.144997010954406988e-05,3.596546533284247235e-06
3.991743852718539209e-02,3.975443716638409584e-03,4.135563867534148799e-05,2.878102933779311785e-06
4.200000001271150807e-02,6.535898392201238555e-03,4.472283000219472355e-05,1.911909841847091688e-06
4.814281610488382879e-02,1.657152461245835207e-02,4.851366990129795504e-05,-1.043012601460787491e-06
4.604052835765218288e-02,1.342027526630216669e-02,4.791921217090601366e-05,-5.051454137533591805e-07
4.340845946045715498e-02,3.451055641520449357e-03,4.450173525904041916e-05,2.136188435299535474e-06
4.399999999999999745e-02,1.000000000000000021e-02,4.883597890565589202e-05,1.887609277514261003e-09
4.572669215125049758e-02,6.793201870641595724e-03,4.777393281463769884e-05,4.874581371908429457e-07
5.000000000008202050e-02,2.000000000000000042e-02,4.950405336323859096e-05,-1.611156112726345113e-06
4.810956202934860149e-02,9.974006907113978221e-03,5.003563481378284390e-05,-4.933953455775866145e-09
5.321661989747887567e-02,1.630527324474354348e-02,5.225634062148808964e-05,-8.504487635260624195e-07
5.059974838083944326e-02,1.320105008530058667e-02,5.087939684787134233e-05,-3.552118101082174756e-07
4.499999999990338118e-02,0.000000000000000000e+00,4.527452206071118319e-05,2.501522472089817140e-06
4.776019165317300919e-02,3.623851400206113023e-03,4.824073581867709923e-05,1.054844021629659480e-06
4.965106012815805048e-02,6.874646747767843187e-03,5.028736035469218667e-05,3.818010412759963770e-07
5.500000000006743939e-02,2.000000000000000042e-02,5.337152133439496658e-05,-1.555235239923019621e-06
5.235415314576657986e-02,9.303806171408923048e-03,5.221905955598766695e-05,8.256631765166169912e-08
5.823192726590074864e-02,1.634800071899824431e-02,5.572336133514629446e-05,-9.884857121254828379e-07
5.596575651317720057e-02,1.198639263129407627e-02,5.436239730041100723e-05,-2.659200471565059600e-07
4.999999999992336963e-02,0.000000000000000000e+00,4.951174791799698561e-05,1.647717527414234120e-06
5.262979027678832411e-02,4.637415354062316558e-03,5.193066209001668166e-05,7.094702094427414514e-07
6.000000000004473977e-02,2.000000000000000042e-02,5.693932362644200170e-05,-1.676544615192254365e-06
5.592707242380802468e-02,7.876661736037765538e-03,5.435765382847650970e-05,2.672154466959527932e-07
6.263683207866777014e-02,1.699377244503963783e-02,5.875534542205282048e-05,-1.187308636394418811e-06
6.245223312732538223e-02,1.295098852510483123e-02,5.865596940030682628e-05,-4.913577585658137146e-07
5.499999999992169486e-02,0.000000000000000000e+00,5.334439395157570304e-05,1.565316208906832625e-06
5.999999999994173883e-02,8.605405812100062543e-03,5.702527463654909510e-05,2.023381200060080380e-07
5.770942209033401438e-02,4.260359157688499432e-03,5.540160442154572532e-05,8.585123148310893577e-07
6.500000000003829104e-02,2.000000000000000042e-02,6.038889104226096994e-05,-1.743497916960879654e-06
6.750000000002970291e-02,1.566987298109512317e-02,6.208611383235427010e-05,-9.950697449429227418e-07
6.498808256992391619e-02,8.430813770925497594e-03,6.038221229351239879e-05,2.541235435099834924e-07
5.999999999994169719e-02,0.000000000000000000e+00,5.692709592518137128e-05,1.647002759622171766e-06
6.249628648888765070e-02,4.319770053590230030e-03,5.866649820095046843e-05,9.309224645577467561e-07
7.000000000002101763e-02,2.000000000000000042e-02,6.380619014388547834e-05,-1.769686903980291137e-06
