G,K,x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
50700000000.0,93400000000.0,0.0,0.02,1.34733311573794e-05,-2.7091592545872933e-06
50700000000.0,93400000000.0,0.002443536421825491,0.01590363853821506,1.534259106516498e-05,-1.614069651102013e-06
50700000000.0,93400000000.0,0.005000000000020688,0.02,1.7310062514751922e-05,-2.7975460193355975e-06
50700000000.0,93400000000.0,0.007531760713421778,0.015687148147259015,1.9227071849184748e-05,-1.603393524189656e-06
50700000000.0,93400000000.0,0.004999504327919811,0.011339713564058992,1.729204458468631e-05,-3.8227360308360373e-07
50700000000.0,93400000000.0,0.0012004198496531997,0.00870049003477547,1.441305828891818e-05,3.4050678625091e-07
50700000000.0,93400000000.0,0.0,0.0,1.3470353511057561e-05,2.697907387172039e-06
50700000000.0,93400000000.0,0.0023031968499785185,0.004164041640535359,1.5229393999340951e-05,1.5849575185917617e-06
50700000000.0,93400000000.0,0.01000000000001968,0.02,2.1121147441092145e-05,-2.8222828897566454e-06
50700000000.0,93400000000.0,0.012507861950964745,0.01571248485290117,2.303096620874168e-05,-1.6087240036190427e-06
50700000000.0,93400000000.0,0.01001089137621805,0.011609551749327096,2.1113939736177966e-05,-4.642776969332341e-07
50700000000.0,93400000000.0,0.007409146242932019,0.007174654191871872,1.91296685391585e-05,7.726952297469899e-07
50700000000.0,93400000000.0,0.004999999999988138,0.0,1.729852937075187e-05,2.779934519505956e-06
50700000000.0,93400000000.0,0.01500000000004036,0.02,2.4940574068987607e-05,-2.7974695971675584e-06
50700000000.0,93400000000.0,0.007499999999985268,0.0030890029862010856,1.9202259055461236e-05,1.9197693962722548e-06
50700000000.0,93400000000.0,0.01750371351107558,0.01568022994631965,2.6845943283416646e-05,-1.55277244088589e-06
50700000000.0,93400000000.0,0.01501191742996678,0.011569186228918713,2.4920481648546705e-05,-4.484110172690613e-07
50700000000.0,93400000000.0,0.01250010988546225,0.008340378350422721,2.3013415659052446e-05,4.4659079399934884e-07
50700000000.0,93400000000.0,0.012502308216317832,0.004265319425319668,2.302438313936153e-05,1.580839975187675e-06
50700000000.0,93400000000.0,0.00999999999998238,0.0,2.111132064389499e-05,2.790898754705771e-06
50700000000.0,93400000000.0,0.02000000000005424,0.02,2.8804101829795437e-05,-2.721557575195794e-06
