x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
-1.2132250100000002,18.6820785600000008,0.0370638500000000,-0.0073066093133001
-0.1821008300000000,1.2009027800000001,0.0100678599999999,0.0060168206866800
-0.2198304400000000,1.7720091099999999,0.0048558999999999,0.0102159906866801
-0.2465217399999999,2.3594359499999999,-0.0037286800000000,0.0210440006866799
-0.2991860600000000,4.6822941199999999,0.0152276400000000,-0.0032009393133201
-0.2562482699999999,5.2584860500000001,-0.0436832000000000,0.0685669506866802
-0.2632476200000000,5.8807337999999998,-0.0606243799999999,0.0560299006866805
-0.6480059400000000,17.8002991199999983,0.0386408400000000,-0.0007741693132992
-0.6025274800000000,18.3972871600000012,0.0258240599999999,-0.0068522293133029
-0.6432799300000001,18.9684737500000011,0.0141141900000001,-0.0050967593133002
-0.6596189299999999,19.5957486000000003,0.0247465700000000,-0.0033873693133017
0.2805331900000000,0.9054494600000000,0.0221968200000000,0.0014404906866770
0.2628820400000000,1.4908761399999999,0.0159398399999999,0.0026567706866800
0.2479473900000000,2.0660321800000001,0.0104676600000000,0.0088203006866800
0.2013014399999999,2.6680122700000002,0.0151776700000000,0.0085306006866799
0.1754785400000000,3.2594722699999998,0.0147433000000000,0.0056875606866802
0.1815255700000000,3.8390228300000002,0.0206990100000000,0.0024723106866800
0.1773907500000000,4.4180314300000001,0.0131400199999999,0.0100145106866796
0.1685083300000000,5.0077069500000002,0.0188970300000000,-0.0014035793133198
0.1624929500000000,5.6241195499999996,0.0186283100000000,0.0032668706866801
0.1507736500000000,6.2115030200000003,0.0150550700000001,0.0030384106866794
0.1278088400000000,6.8077018699999998,0.0206198300000000,0.0010294806866797
0.1103400300000000,7.3901681600000000,0.0206637000000000,0.0003822406866796
0.0950206200000000,7.9765572100000002,0.0235680500000000,0.0014421106866802
0.0550608100000000,9.7593638100000000,0.0251053700000000,-0.0071101793133206
0.0766519999999999,10.3094498500000000,0.0032125000000001,0.0161095406866991
0.0457772500000000,10.9357347699999998,0.0004355000000000,-0.0042420193132990
0.0102147600000000,11.5557267699999997,0.0396039000000000,-0.0230561193132992
-0.0044084200000001,12.1665642700000003,0.0189491800000001,-0.0008046893133002
-0.0070439000000000,12.7513371899999992,0.0160220600000001,0.0004031106867011
-0.0327619200000000,13.9287188000000004,0.0303505700000000,-0.0030456493133002
-0.1078440100000000,17.4979414499999990,0.0153020100000001,-0.0118974593132997
-0.1141362500000001,18.0909770799999983,0.0285088600000001,0.0010687306867005
-0.1251564199999999,18.6931699699999996,0.0205834500000000,-0.0006145493133012
-0.1485783599999999,19.2949915800000014,0.0183650799999999,-0.0000012493132999
-0.1847098800000000,19.8964330199999999,0.0212074200000001,0.0020993906866984
0.7740989300000000,0.0251769600000000,0.0162801900000000,0.0044331606866772
0.7716042999999999,0.5970984100000000,0.0195678700000000,0.0028150906866771
0.7552237399999999,1.1883378600000001,0.0179213800000000,0.0017838006866799
0.7385736599999999,1.7748027700000000,0.0183298100000000,0.0030175406866799
0.7234761500000000,2.3611309299999999,0.0191849900000000,0.0022322006866800
0.7020961699999999,2.9574353300000000,0.0184355500000000,0.0026141006866798
0.6913977300000000,3.5423662100000000,0.0186175500000000,0.0021012406866800
0.6786328400000000,4.1312656199999997,0.0180240599999999,0.0027568106866802
0.6700806400000000,4.7196661700000000,0.0188064000000000,0.0024280606866798
0.6625890200000000,5.3113153100000003,0.0193549200000000,0.0016029906866795
0.6502104799999999,5.9077190100000001,0.0187467700000000,0.0021272706866799
0.6347676300000000,6.5023324699999998,0.0183346000000000,0.0017550706866798
