x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m],ux_std,uy_std
0.0,0.02,1.1493837780783966e-05,-1.6448758805982182e-06,0.38615808,0.46154383
0.002443536421825491,0.01590363853821506,1.3155842532864021e-05,-9.896771716017618e-07,0.37150773,0.40327713
0.005000000000020688,0.02,1.4885595843567937e-05,-1.7318623458756368e-06,0.37335414,0.42621714
0.007531760713421778,0.015687148147259015,1.681219610100767e-05,-9.984192088833366e-07,0.36654443,0.39194873
0.004999504327919811,0.011339713564058992,1.5352170008803078e-05,-2.4034926177031656e-07,0.36905906,0.40041474
0.0012004198496531997,0.00870049003477547,1.2671496330069672e-05,2.0014918885740338e-07,0.3782593,0.43116698
0.0,0.0,1.178147229129734e-05,1.638637860442724e-06,0.38626748,0.46154174
0.0023031968499785185,0.004164041640535359,1.3229850588096591e-05,9.606088822027456e-07,0.37374857,0.40582243
0.01000000000001968,0.02,1.8417008109049958e-05,-1.7563676135290188e-06,0.37042254,0.4176668
0.012507861950964745,0.01571248485290117,2.0118867177478513e-05,-1.0085312259880326e-06,0.36593103,0.3979104
0.01001089137621805,0.011609551749327096,1.863193937201278e-05,-2.915766916941283e-07,0.36480227,0.39273855
0.007409146242932019,0.007174654191871872,1.7003034169683457e-05,4.723972946868248e-07,0.36730596,0.39107105
0.004999999999988138,0.0,1.5083675992686149e-05,1.7258224018145798e-06,0.37283492,0.42341247
0.01500000000004036,0.02,2.1895848161355995e-05,-1.7622734429212797e-06,0.3694873,0.42780584
0.007499999999985268,0.0030890029862010856,1.6837882513211318e-05,1.1908771776464708e-06,0.36768192,0.39387828
0.01750371351107558,0.01568022994631965,2.3236975642572702e-05,-9.675681597237114e-07,0.36553076,0.39868462
0.01501191742996678,0.011569186228918713,2.156770295258091e-05,-2.84514488482935e-07,0.36410034,0.3966774
0.01250010988546225,0.008340378350422721,2.0164555336710186e-05,2.73664922072446e-07,0.36478674,0.3954709
0.012502308216317832,0.004265319425319668,2.0184549127593808e-05,9.869433314418456e-07,0.36617658,0.39497653
0.00999999999998238,0.0,1.8528718343570133e-05,1.7398497230526506e-06,0.3696797,0.42070416
0.02000000000005424,0.02,2.5315171280940668e-05,-1.6419876893582984e-06,0.36801684,0.4282418
0.02229057790894281,0.015739640842258196,2.6254411034469156e-05,-8.741896951846813e-07,0.36485553,0.39384383
0.020000000000054183,0.011394594187402386,2.4393759257982205e-05,-2.2458345082967344e-07,0.36438784,0.39297077
0.017566286161876592,0.007083180156676255,2.3089548286793353e-05,4.713002042060162e-07,0.3648474,0.3905985
0.014999999999966446,0.0,2.1914753949492567e-05,1.7402144434481353e-06,0.36931238,0.42184913
0.02500000000006815,0.02,2.8778342701363924e-05,-1.6515795939765216e-06,0.3665992,0.42418206
0.01736733342155068,0.003000099772614508,2.32458477380996e-05,1.172251422232896e-06,0.3652926,0.39309233
0.02737020972161973,0.015362584644700668,2.9657836783019473e-05,-6.968532837567466e-07,0.36427972,0.3858901
0.024072927571751456,0.01212333826448509,2.6935076094914602e-05,-2.969792636666377e-07,0.36453813,0.3911364
0.024034243466549775,0.008013607373164403,2.687518721244242e-05,2.581713727681823e-07,0.36487564,0.39335114
0.021768072729645416,0.0036519992810766177,2.592442099471073e-05,9.633036470218068e-07,0.36429036,0.3934354
0.01999999999994713,0.0,2.5231808788926795e-05,1.6226405655029834e-06,0.36882237,0.42289707
0.030000000000077968,0.02,3.239933120763821e-05,-1.6253158197758125e-06,0.36617365,0.41589582
0.03223980835074959,0.016376148601735353,3.355640721135451e-05,-1.0018302094204048e-06,0.36399883,0.38943282
0.027645846846229866,0.0106961938238212,2.9296669596901586e-05,-9.198450144164325e-08,0.36470556,0.38542792
0.02678338009723399,0.0036947267528664447,2.9237032327496133e-05,8.286851816601294e-07,0.36370888,0.39077792
0.024999999999925096,0.0,2.8589120724519903e-05,1.603182983486244e-06,0.36801764,0.420713
0.03500000000009727,0.02,3.621642599333034e-05,-2.4475970150578968e-06,0.3666932,0.41889712
0.030348939871098816,0.013125353251381444,3.1560247377921285e-05,-3.395339596935596e-07,0.36419135,0.38491583
0.02940025161316464,0.0067989499071536815,3.0733970951656375e-05,2.9355015781655275e-07,0.36448452,0.3869034
0.036591540547954216,0.01654894436243326,3.717396239268958e-05,-2.292552347679641e-06,0.3640062,0.38988677
0.034273307852885515,0.013206798131455718,3.4824835423092864e-05,-7.608061030683268e-07,0.36391744,0.383479
0.031890437964898155,0.01002599308788085,3.258834731924581e-05,-1.8314038714097555e-08,0.36440307,0.38379067
0.02999999999992068,0.0,3.211024569528942e-05,1.5582779239622087e-06,0.36731732,0.41850787
0.03185718389473047,0.00342847538426219,3.302149672732777e-05,9.380445742879046e-07,0.36366382,0.39303264
0.0400000000001071,0.02,4.016564175611887e-05,-3.639674375489806e-06,0.36739147,0.41379774
0.033959471643858874,0.006579724727082873,3.4432095769690516e-05,7.289889266497978e-07,0.3641889,0.38240308
0.040082561481146,0.016024556284552495,4.0139211133626685e-05,-2.792255370960743e-06,0.36396396,0.3867209
0.03799999999647134,0.013464101613100488,3.815470413034644e-05,-1.6083543685228677e-06,0.36375377,0.38849962
0.03599999999999999,0.01,3.616777417030872e-05,-4.0580000327083665e-09,0.36391333,0.38277224
0.034999999999904066,0.0,3.5846502324408904e-05,2.412342613943318e-06,0.3667941,0.41780785
0.036455682346660634,0.0034199237007551575,3.674275353795331e-05,2.237347499149019e-06,0.3638855,0.38540277
0.04354431765621696,0.01658007629704226,4.311144449914594e-05,-2.2474188961894374e-06,0.36388648,0.3871643
0.03800000001440158,0.006535898376547476,3.798221094162684e-05,1.59769599668992e-06,0.3640216,0.38748145
0.0450000000000993,0.02,4.410779619212061e-05,-2.4242552817207574e-06,0.3676871,0.41562495
0.041999999993413376,0.013464101618940554,4.1787152468114555e-05,-1.6110167716138237e-06,0.3637495,0.38974172
0.03999999999988339,0.0,3.9742688892977324e-05,3.626501460185694e-06,0.3663346,0.410382
0.03991743852718539,0.00397544371663841,3.9675560913616866e-05,2.780181266516663e-06,0.3640378,0.38735068
0.042000000012711515,0.006535898392201239,4.1600228822484826e-05,1.5930779408919156e-06,0.36400262,0.39034688
0.04814281610488383,0.016571524612458352,4.687972784166937e-05,-9.539022111161491e-07,0.36367938,0.39053
0.046040528357652176,0.013420275266302167,4.536386751708375e-05,-7.43237032472165e-07,0.36391664,0.38642973
0.043408459460457155,0.0034510556415204494,4.2637938543100075e-05,2.277135499906623e-06,0.36406776,0.38691768
0.044,0.01,4.356682312605912e-05,-1.1632655393154086e-08,0.3638475,0.3882079
0.0457266921512505,0.006793201870641596,4.492646554981863e-05,7.452094989147702e-07,0.36413407,0.384708
0.050000000000082014,0.02,4.790417790174923e-05,-1.581138155186372e-06,0.36765096,0.41525692
0.0481095620293486,0.009974006907113978,4.716739716031451e-05,2.683271083924086e-09,0.36428398,0.38747907
0.05321661989747888,0.016305273244743543,5.0715553131691706e-05,-8.50816251073738e-07,0.36372706,0.3884215
0.05059974838083944,0.013201050085300587,4.909980838672225e-05,-3.117827549151403e-07,0.3642195,0.38898656
0.044999999999903374,0.0,4.3667084468784025e-05,2.4263870459801565e-06,0.36603153,0.41686344
0.04776019165317301,0.0036238514002061126,4.6246833461252966e-05,9.87046926169171e-07,0.36409134,0.39163283
0.04965106012815805,0.006874646747767843,4.820263077961398e-05,3.2626579582619473e-07,0.36436218,0.39130425
0.05500000000006744,0.02,5.1485744707026906e-05,-1.6315283416373004e-06,0.36770186,0.4160363
0.05235415314576657,0.009303806171408925,5.048414270463509e-05,7.710427249630103e-08,0.364665,0.39118063
0.05823192726590074,0.016348000718998244,5.4081512401732345e-05,-9.813725756104367e-07,0.36429787,0.39190796
0.0559657565131772,0.011986392631294076,5.298263957239293e-05,-2.7629393534153854e-07,0.3646065,0.3897093
0.04999999999992337,0.0,4.747931332628545e-05,1.6063451334933998e-06,0.366208,0.41775042
0.05262979027678832,0.0046374153540623166,5.014031096265231e-05,6.866342130834802e-07,0.364337,0.39040688
0.06000000000004473,0.02,5.488783581235369e-05,-1.6460215601679205e-06,0.36796227,0.4223823
0.05592707242380802,0.007876661736037766,5.2864137774107126e-05,2.8190156308442346e-07,0.3647119,0.38820377
0.06263683207866777,0.016993772445039634,5.681112333016781e-05,-1.1858833533126621e-06,0.3651165,0.3930293
0.062452233127325375,0.012950988525104831,5.6855484802320356e-05,-4.946876619172272e-07,0.36463428,0.38971916
0.054999999999921695,0.0,5.110728484105006e-05,1.6368840035689754e-06,0.36704656,0.41857168
0.05999999999994174,0.008605405812100063,5.5439088216983274e-05,2.0257417961544936e-07,0.36471307,0.39057225
0.057709422090334014,0.004260359157688499,5.35680795295203e-05,8.578624413250247e-07,0.3647647,0.39033267
0.06500000000003829,0.02,5.8218066026918556e-05,-1.7632513622682755e-06,0.3679354,0.42274597
0.0675000000000297,0.015669872981095123,5.9838744575935635e-05,-9.964782491447955e-07,0.36553437,0.40164277
0.06498808256992392,0.008430813770925498,5.828965342521664e-05,2.582040134767022e-07,0.36477694,0.39197883
0.0599999999999417,0.0,5.457758198330386e-05,1.6200761775310588e-06,0.36817214,0.4250064
0.06249628648888765,0.00431977005359023,5.659947795484324e-05,9.407415709502833e-07,0.3653543,0.3915023
0.07000000000002102,0.02,6.15767324960962e-05,-1.7702552585727964e-06,0.36751735,0.42597914
0.06740051133418926,0.011506851525703132,5.969902871311847e-05,-2.7208463234780566e-07,0.36458883,0.39890575
0.07279327590094296,0.016137876774427747,6.331752097908645e-05,-1.0959635019681422e-06,0.36560512,0.3900797
0.07178864413358495,0.012003458154242634,6.238234780986572e-05,-3.679440232180293e-07,0.36518326,0.3909721
0.06749385792404124,0.004274392442031136,5.972108115636625e-05,9.88969008232984e-07,0.3657065,0.39051175
0.07002157552234663,0.008066666492799884,6.125852252264381e-05,3.1937439837390173e-07,0.3653484,0.39388502
0.0649999999999617,0.0,5.799114883241328e-05,1.7420386033863887e-06,0.368818,0.4214165
0.0749999999999983,0.02,6.495421723582198e-05,-1.786167557479525e-06,0.36914286,0.41746774
0.07633974596214867,0.01633974596214564,6.579300967175016e-05,-1.1366526094652278e-06,0.36663988,0.38975188
0.07604655695369905,0.012816287427492372,6.529421312168468e-05,-5.159565242764078e-07,0.36707935,0.39644676
0.0755257015008422,0.007859064009264708,6.490737344661584e-05,3.5694245897826433e-07,0.36770964,0.39776278
0.06999999999998169,0.0,6.144388875300674e-05,1.745826041496359e-06,0.3690794,0.41801438
0.07247855853674462,0.0042341156225629145,6.302242161608739e-05,9.997716878510062e-07,0.36589405,0.39206833
0.08,0.02,6.815828985214968e-05,-1.787386515904822e-06,0.37983525,0.44777486
0.08,0.01499999999998712,6.828179109267445e-05,-9.020429138014092e-07,0.3717815,0.40868148
0.08,0.00999999999997458,6.808135393577697e-05,-2.181497556235471e-08,0.37447876,0.41159552
0.07633974596214371,0.003660254037848154,6.57878322107802e-05,1.1106713313483413e-06,0.36748767,0.39227524
0.07499999999998001,0.0,6.492848109771582e-05,1.757040682193422e-06,0.3719905,0.41936707
0.08,0.004999999999989158,6.833840303817083e-05,8.699939976517359e-07,0.37369627,0.4075752
0.08,0.0,6.826024784266843e-05,1.7558446001621306e-06,0.38510904,0.45804858
